Place of interest,Type of place,Place address,BiciMAD station,Station location
Colegio Público Menéndez Pelayo,Colegio Público,Calle Mendez Alvaro 16,Atocha B,Paseo de la Infanta Isabel 3
Colegio Público Menéndez Pidal,Colegio Público,Calle Encomienda De Palacios 85,Pavones,Calle Hacienda de Pavones 342
Colegio Público Meseta de Orcasitas,Colegio Público,Calle Camino Viejo De Villaverde 1,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público Mesonero Romanos,Colegio Público,Calle Pont De Molins 31,Pavones,Calle Hacienda de Pavones 342
Colegio Público Miguel Blasco Vilatela,Colegio Público,Calle Hermanos Garcia Noblejas 70,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público Miguel Servet,Colegio Público,Calle Fragata 33,Caramuel,Calle Caramuel 51
Colegio Público Miguel de Unamuno,Colegio Público,Calle Alicante 5,Beata,Calle Alicante 3
Colegio Público Mirasierra,Colegio Público,Calle La Maso 22,Pedro Rico,Calle Pedro Rico 4
Colegio Público Monte de El Pardo,Colegio Público,Avenida Guardia 19,Facultad Derecho,Avenida Complutense 23
Colegio Público Méjico (México),Colegio Público,Avenida Badajoz 74,Carlota O’Neill,Calle Carlota O'Neill 32
Colegio Público Méndez Núñez,Colegio Público,Calle Alicun 9,Chamartín,Calle Rodríguez Jaén 40
Colegio Público Navas de Tolosa,Colegio Público,Calle Benimamet 109,Embajadores 191,Calle Sodio 1B
Colegio Público Nuestra Señora de la Almudena,Colegio Público,Calle Lope De Rueda 48,Retiro-Ibiza,Calle Ibiza 18
Colegio Público Nuestra Señora de la Concepción,Colegio Público,Calle Virgen Del Sagrario 24,C.D. Concepción,Calle Jose del Hierro 5
Colegio Público Nuestra Señora de la Fuencisla,Colegio Público,Calle Tomelloso 39,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público Nuestra Señora de la Luz,Colegio Público,Calle Magnesia 9,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público Nuestra Señora de la Paloma,Colegio Público,Calle Tabernillas 2,Plaza de los Carros,Carrera de San Francisco 1
Colegio Público Nuestra Señora del Lucero,Colegio Público,Calle Muñico 1,Caramuel,Calle Caramuel 51
Colegio Público Nuria Espert,Colegio Público,Calle Maria Reiche 34,Carlota O’Neill,Calle Carlota O'Neill 32
Colegio Público Pablo Picasso,Colegio Público,Calle Angel Luis De La Herran 35,Carlota O’Neill,Calle Carlota O'Neill 32
